Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Price ($),Customer rating (Out of 5)
Blueberry Protein Bar,Blueberries,Honey,Almond oil,Vanilla extract,Tree nuts,2.99,4.2
Mango Chia Pudding,Mango,Coconut sugar,Coconut milk,Cardamom,Coconut,4.49,4.5
Beetroot Chips,Beetroot,None,Olive oil,Sea salt,None,3.25,3.8
Pumpkin Spice Muffin,Pumpkin,Maple syrup,Butter,"Cinnamon, Nutmeg","Wheat, Dairy",5.75,4.7
Lentil Soup,Lentils,None,Olive oil,Herbs de Provence,None,4,4
Quinoa Sushi Roll,Quinoa,None,Avocado oil,Soy sauce,Soy,6.5,4.6
Turmeric Latte,Turmeric,Date syrup,Coconut oil,"Ginger, Black pepper",None,3.75,4.3
Seaweed Snack,Seaweed,None,Sesame oil,Nori seasoning,None,2.5,3.9
Hazelnut Milkshake,Hazelnuts,Agave syrup,Hazelnut oil,Cocoa powder,Tree nuts,5.25,4.8
Spicy Black Bean Wrap,Black Beans,None,None,"Hot sauce, Lime",None,6,4.1
